division,section,nearest_gov_hospital,emergency_cases,resource_availability
Acharapakkam,Town/Acharapakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Elapakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Rural/Acharapakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Orathy-I,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Orathy-II,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Thozhupedu,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Melmaruvathur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Chithamur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Nugumbal,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Acharapakkam,Chunambedu,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
SRIPERUMBUDUR,SOUTH/SRIPERUMBUDU R,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,SOUTH/SRIPERUMBUDU R,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,NORTH/SRIPERUMBUDU R,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,IRUNGATTUKOTTAI,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,IRUNGATTUKOTTAI,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,NORTH/SUNGUVARCHA THRAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,MANNUR,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,ORAGADAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,SOUTH/SUNGUVARCHAT HRAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,SOUTH/SUNGUVARCHAT HRAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,SOUTH/SUNGUVARCHAT HRAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,SOUTH/SUNGUVARCHAT HRAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,THANDALAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
SRIPERUMBUDUR,VALLAKOTTAI,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
SRIPERUMBUDUR,VALLAKOTTAI,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
SRIPERUMBUDUR,VALLAKOTTAI,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
SRIPERUMBUDUR,PILLAIPAKKAM,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
SRIPERUMBUDUR,SIPCOT MAMBAKKAM,"Anna Medical Hospital, Rajiv gandhi nearest PN Chathram Sriperumbudur",Moderate,Critical
Maraimalai Nagar,Sembakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Sembakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Thiruporur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Alathur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,W/Guduvanchery,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,W/Urapakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Karasangal,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Padappai,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,T/Guduvanchery,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Kelambakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Kovalam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Padur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Kandigai,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Maraimalai Nagar-I,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Vandalur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Kolapakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,East/Guduvanchery,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Urapakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Mambakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Maraimalai Nagar-II,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Maraimalai Nagar,Kattankolathur,Govt.Hospital/ Tambaram,Low,Critical
MADURANTHAGAM,AE/O&M/RURAL  KADUGUPATTU,Govt Hospitals Pavunjur,Low,Critical
MADURANTHAGAM,JE/O&M/Cheyyur-I,Govt Hospitals at Cheyyur,Moderate,Critical
MADURANTHAGAM,JE/O&M/T/Madurantakam,Govt Hospitals at Madurantakam,Low,Limited
MADURANTHAGAM,JE/O&M/Koovathur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
MADURANTHAGAM,JE/O&M/West/Madurantakam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
MADURANTHAGAM,JE/O&M/Kadapakkam,Govt Hospitals at Cheyyur,Moderate,Critical
MADURANTHAGAM,JE/O&M/Z.Endathur,Govt Hospitals at Madurantakam,Low,Limited
MADURANTHAGAM,JE/O&M/L.Endathur,Govt Hospitals at Madurantakam,Low,Limited
MADURANTHAGAM,JE/O&M/Karunguzhi,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,AnnaNagar/Chengalpatt u,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Town/Chengalpattu,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Chettipunniyam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Singaperumal Koil,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Meyyur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Salavakkam,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Bukkathurai,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Town/Thirukalukundram,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,East/Thirukalukundram,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,South/Thirukalukundram,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Nerumbur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Nenmeli,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Rural/South/Chengalpattu,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Athur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Anjur,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Manampathy,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Sadras,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Chengalpattu,Mamallapuram,Chengalpattu Govt. Medical College & Hospitals,Low,Adequate
Thirumazhisai,Pakkam,Govt.Hospital/ Thiruvallore,High,Critical
Thirumazhisai,Thirumazhisai,Govt.Hospital/ Thiruvallore,High,Critical
Thirumazhisai,Sevvapet,Govt.Hospital/ Thiruvallore,High,Critical
Thirumazhisai,Rural/Thiruninravur,Govt.Hospital/ Thiruvallore,High,Critical
